MPI-1p mvm: N=9216 np=1 th=40 norm=466198.978716 (etalon=20580.116700, diff=445618.862016) time=6.069229 perf=13994.31 MFLOPS
MPI-1p mvm: N=9216 np=2 th=20 norm=466198.978716 (etalon=20580.116700, diff=445618.862016) time=3.958524 perf=21456.14 MFLOPS
MPI-1p mvm: N=9216 np=4 th=10 norm=466198.978716 (etalon=20580.116700, diff=445618.862016) time=3.898894 perf=21784.29 MFLOPS
MPI-1p mvm: N=9216 np=8 th=5  norm=466198.978716 (etalon=20580.116700, diff=445618.862016) time=3.902733 perf=21762.87 MFLOPS
