MPI-1p mvm: N=1152 np=1 th=40 norm=20580.116664 (etalon=20580.116700, diff=0.000036) time=5.017273 perf=26450.70 MFLOPS
MPI-1p mvm: N=1152 np=2 th=20 norm=20580.116664 (etalon=20580.116700, diff=0.000036) time=5.933597 perf=22365.93 MFLOPS
MPI-1p mvm: N=1152 np=4 th=10 norm=20580.116664 (etalon=20580.116700, diff=0.000036) time=2.352456 perf=56413.56 MFLOPS
MPI-1p mvm: N=1152 np=5 th=8 norm=20526.499980 (etalon=20580.116700, diff=53.616720) time=2.255794 perf=58830.90 MFLOPS
MPI-1p mvm: N=1152 np=8 th=5 norm=20580.116664 (etalon=20580.116700, diff=0.000036) time=1.845872 perf=71895.78 MFLOPS
MPI-1p mvm: N=1152 np=10 th=4 norm=20526.499980 (etalon=20580.116700, diff=53.616720) time=2.686592 perf=49397.31 MFLOPS
MPI-1p mvm: N=1152 np=20 th=2 norm=20259.117018 (etalon=20580.116700, diff=320.999682) time=1.277593 perf=103875.32 MFLOPS
MPI-1p mvm: N=1152 np=40 th=1 norm=19727.869832 (etalon=20580.116700, diff=852.246868) time=1.190770 perf=111449.22 MFLOPS
