MPI-1p mvm: N=9216 np=1 th=40 norm=466198.978716 (etalon=20580.116700, diff=445618.862016) time=6.069229 perf=13994.31 MFLOPS
MPI-1p mvm: N=9216 np=2 th=20 norm=466198.978716 (etalon=20580.116700, diff=445618.862016) time=3.958524 perf=21456.14 MFLOPS
MPI-1p mvm: N=9216 np=4 th=10 norm=466198.978716 (etalon=20580.116700, diff=445618.862016) time=3.898894 perf=21784.29 MFLOPS
MPI-1p mvm: N=9216 np=5 th=8 norm=466123.093907 (etalon=20580.116700, diff=445542.977207) time=4.076284 perf=20836.29 MFLOPS
MPI-1p mvm: N=9216 np=8 th=5 norm=466198.978716 (etalon=20580.116700, diff=445618.862016) time=3.902733 perf=21762.87 MFLOPS
MPI-1p mvm: N=9216 np=10 th=4 norm=465743.731637 (etalon=20580.116700, diff=445163.614937) time=3.929450 perf=21614.90 MFLOPS
MPI-1p mvm: N=9216 np=20 th=2 norm=464985.316041 (etalon=20580.116700, diff=444405.199341) time=3.948805 perf=21508.95 MFLOPS
MPI-1p mvm: N=9216 np=40 th=1 norm=464985.316041 (etalon=20580.116700, diff=444405.199341) time=3.940554 perf=21553.99 MFLOPS
